posting_date,transaction_date,description,merchant_category,type,amount,running_balance,reference_id,channel
2026-06-01,2026-06-01,DRAPER LIVING - HURON RES  AUTOPAY RENT,Rent,debit,-4950.00,18901.59,AXH8830271,ACH
2026-06-02,2026-06-02,NORTHWIND MUTUAL INS  PREM NW-IL-4471903,Insurance,debit,-318.00,18583.59,AXH8830514,ACH
2026-06-02,2026-06-02,WHOLE FOODS MKT #1042 CHICAGO IL,Groceries,debit,-214.86,18368.73,POS0092210,POS
2026-06-03,2026-06-03,EQUINOX GOLD COAST  MEMBERSHIP,Health/Fitness,debit,-285.00,18083.73,AXH8831002,ACH
2026-06-03,2026-06-03,PELOTON  MEMBERSHIP,Digital Subscriptions,debit,-44.00,18039.73,AXH8831044,ACH
2026-06-04,2026-06-04,STARBUCKS #201 W HURON,Coffee Shops,debit,-9.85,18029.88,POS0092388,POS
2026-06-04,2026-06-04,UNITED AIRLINES  0162334551 ORD-SFO,Travel/Airlines,debit,-64.00,17965.88,POS0092390,POS
2026-06-05,2026-06-05,STERLING MOTOR FIN  AUTO PMT ...3390,Auto/Loan,debit,-1372.53,16593.35,AXH8831771,ACH
2026-06-05,2026-06-05,MARIANO'S #8521 CHICAGO IL,Groceries,debit,-131.40,16461.95,POS0092571,POS
2026-06-06,2026-06-06,DOORDASH  SUSHI DOKKU,Restaurants,debit,-58.72,16403.23,POS0092640,POS
2026-06-08,2026-06-08,SPOTIFY USA  DUO,Digital Subscriptions,debit,-16.99,16386.24,AXH8832090,ACH
2026-06-08,2026-06-08,NYTIMES  DIGITAL,Digital Subscriptions,debit,-25.00,16361.24,AXH8832101,ACH
2026-06-08,2026-06-08,APPLE.COM/BILL  ICLOUD+ 2TB,Digital Subscriptions,debit,-9.99,16351.25,AXH8832110,ACH
2026-06-09,2026-06-09,UBER  *TRIP 8842,Rideshare,debit,-27.40,16323.85,POS0092884,POS
2026-06-09,2026-06-09,LYFT  *RIDE 5521,Rideshare,debit,-19.15,16304.70,POS0092890,POS
2026-06-10,2026-06-10,COMED  UTILITY BILL,Utilities,debit,-142.55,16162.15,AXH8832551,ACH
2026-06-10,2026-06-10,PEOPLES GAS  UTILITY BILL,Utilities,debit,-68.30,16093.85,AXH8832560,ACH
2026-06-11,2026-06-11,XFINITY  INTERNET,Utilities,debit,-89.99,16003.86,AXH8832744,ACH
2026-06-11,2026-06-11,AT&T  WIRELESS 2 LINES,Utilities,debit,-180.00,15823.86,AXH8832750,ACH
2026-06-12,2026-06-12,ADOBE  CREATIVE CLOUD,Digital Subscriptions,debit,-20.00,15803.86,AXH8832990,ACH
2026-06-12,2026-06-12,SWEETGREEN  W ERIE,Restaurants,debit,-18.40,15785.46,POS0093110,POS
2026-06-13,2026-06-13,TRANSFER TO SAVINGS ...8823,Transfer,debit,-1000.00,14785.46,XFR0011,XFER
2026-06-13,2026-06-13,AMAZON  PRIME MEMBERSHIP,Digital Subscriptions,debit,-16.24,14769.22,AXH8833220,ACH
2026-06-15,2026-06-15,MERIDIAN STRATEGY PARTNERS  PAYROLL,Payroll,credit,5180.00,19949.22,DEP4400015,ACH
2026-06-15,2026-06-15,HALCYON ADVISORY GRP  PAYROLL,Payroll,credit,4470.00,24419.22,DEP4400021,ACH
2026-06-15,2026-06-15,NORDSTROM #612 MICHIGAN AVE,Retail,debit,-412.90,24006.32,POS0093401,POS
2026-06-16,2026-06-16,AVIS RENT A CAR  SFO,Travel/Lodging,debit,-186.00,23820.32,POS0093510,POS
2026-06-17,2026-06-16,AVIS RENT A CAR  SFO REVERSAL,Travel/Lodging,credit,186.00,24006.32,POS0093510R,POS
2026-06-17,2026-06-17,BLUE BOTTLE COFFEE  SF,Coffee Shops,debit,-11.25,23995.07,POS0093620,POS
2026-06-17,2026-06-17,THE FRENCH LAUNDRY  YOUNTVILLE,Restaurants,debit,-642.00,23353.07,POS0093640,POS
2026-06-18,2026-06-18,CONTINENTAL TRUST  CARDPMT ...1008,Transfer,debit,-2500.00,20853.07,AXH8834110,ACH
